recall-0	recall-1	gmean
72.84997074101547	67.51883854260228	70.13376798872225
73.38725291431112	67.51883854260228	70.39191772218236
73.90879695535672	67.51883854260228	70.64160338289828
74.41525918105886	67.51883854260228	70.88322699871821
74.89130761228787	67.53494358548292	71.11807248962045
74.90725997152876	68.0019898290211	71.37116175812005
75.3853861971783	68.0019898290211	71.59857725847174
75.78778541287764	68.0019898290211	71.78941574362156
74.36925687189196	68.0019898290211	71.11439692069571
73.05065164553801	68.0019898290211	70.48112988739071
73.54646466199074	68.0019898290211	70.71991191952344
74.01342368418156	68.01777834624929	70.9522983898175
74.01342368418156	68.49112580381113	71.19875499419955
73.96876815865961	68.94005908420473	71.41016207266186
72.69011255421852	68.94005908420473	70.7902581880114
73.16439698939395	68.9552396525642	71.02864582996783
73.18033122502185	69.39547613498877	71.26278081212223
73.59903622880769	69.39547613498877	71.46635685533717
72.35696100376175	69.39547613498877	70.86074908252708
72.84171328218139	69.39547613498877	71.09771709207908
73.29902182058615	69.41036469968594	71.32819804745611
73.31440259200993	69.84213307590397	71.55720971510527
73.7604449632997	69.85673725131396	71.78205920243046
73.77545067896948	70.28025833820332	72.00665061461582
74.21061643339273	70.29458547875426	72.22606538022247
74.21061643339273	70.72412976591505	72.4464027170695
74.21061643339273	71.09779986063221	72.63753543943723
74.21061643339273	70.07876080517879	72.11510270560944
74.21061643339273	69.07866092403398	71.59867323886581
74.22525991584418	68.12916667754848	71.11191956691161
74.6499209069363	68.14420199135084	71.32292260501269
74.6499209069363	68.59498731520112	71.55844029666984
74.6499209069363	69.03755663424141	71.78891378447133
74.6499209069363	69.47211078844298	72.01449559356216
74.6499209069363	69.8988442036242	72.23533201478907
74.66421440275391	70.30421536389532	72.45142517126399
75.07872578146497	70.31794514578964	72.65935398224262
75.07872578146497	70.72959596345643	72.87172249901985
75.07872578146497	71.13397331862431	73.07973779738842
75.07872578146497	71.53124840700447	73.28352464200492
75.07872578146497	71.87604692104728	73.4599347742769
75.09268099327696	70.9263710857436	72.97980102708233
75.5110102521882	70.9263710857436	73.18279807581895
75.91953735006983	70.9263710857436	73.38049658287292
76.30557732686404	70.89418889470333	73.55013264930317
76.30557732686404	69.92927548892064	73.04788661030113
76.3185828995977	69.01200938608808	72.57340256181998
76.69574450887401	69.02596955265525	72.7598661714531
76.70845373789044	69.43081438310315	72.97897240363368
77.07702137936639	69.39964519118445	73.13766427854642
77.07702137936639	68.50983278475151	72.66728181408128
77.08944365893792	68.91856340182545	72.88959946672752
77.46183409978572	68.91856340182545	73.06543864665268
77.81401976469367	68.88783621381766	73.21502201521889
77.82589478384592	67.99674776159169	72.7454997710329
78.12868171794734	67.99674776159169	72.88687305489889
76.92261169984724	68.01096833971805	72.32967101353867
76.92261169984724	68.43734954269537	72.55604499033471
76.88192936398266	68.84289822476605	72.75145935669133
75.71491717486126	68.84289822476605	72.19719064593555
76.08540815244082	68.85665166581235	72.38084308713029
76.09791000436569	69.25550145615533	72.59613568997818
76.46046371018657	69.26902889987196	72.77597179315796
76.46046371018657	69.6746310724897	72.98872927129734
76.47269995387721	70.06051391272648	73.1964251795289
76.82755102090591	70.02988264753587	73.35001282952591
76.82755102090591	69.1550257020483	72.89040585341925
76.83952943325404	69.54506830821266	73.10137018692994
77.19863145043578	69.54506830821266	73.27198712687606
77.55023006324471	69.54506830821266	73.43865499221755
77.89454080537666	69.54506830821266	73.60150243810773
78.23177108828673	69.54506830821266	73.76065254732606
78.5513246485518	69.55830148984347	73.91817585905741
78.56212058054467	69.94206375713708	74.12689691697842
78.88578156612171	69.94206375713708	74.27943432626068
79.15311120813026	69.94206375713708	74.40518765983194
78.01967118162779	69.94206375713708	73.87054092191474
78.34657240955352	69.94206375713708	74.02513736982964
78.65656932063756	69.91176472333224	74.15537450710424
78.65656932063756	69.04646759375488	73.69503554944075
78.66705029906363	69.43433826587744	73.90666127517856
78.98127661287316	69.43433826587744	74.05411991921225
79.27933685703188	69.4475008905572	74.20075347987718
79.27933685703188	69.842171767237	74.41129660449053
79.28941709664394	70.2178598352798	74.61590431076462
79.58174404539368	70.23061097887269	74.76011307557167
79.54320598325566	70.60039414306654	74.93851942640032
78.42560218125301	70.61294580342951	74.41681796762168
78.42560218125301	70.98930015672418	74.61486858004116
78.42560218125301	71.3597947028529	74.80932342363369
78.43600265624261	71.71257001227059	74.99898220621691
78.74782095659786	71.71257001227059	75.14791163873933
79.04375220064806	71.72454696028974	75.29526755801382
79.00598258348388	72.07187845284528	75.45932396864195
77.87359618017946	72.07187845284528	74.91659601572839
76.80963004833377	72.07187845284528	74.4030531688823
77.09199847053804	72.07187845284528	74.5396883777733
76.04806497935202	72.07187845284528	74.03328235169597
76.385603183147	72.07187845284528	74.19739825737182
76.71702839124532	72.07187845284528	74.35818949838217
77.04248888808206	72.07187845284528	74.5157493074218
77.36212826013357	72.07187845284528	74.67016743531364
77.67608558073438	72.07187845284528	74.8215303149267
77.98449558623291	72.07187845284528	74.9699212157611
78.27755966227713	72.08367140385253	75.11680164244912
